"","beta","alpha","minobsnode","base","misclass_rate_test","cvfold","V","burn","ndraw","pb","pbd","kfac","nc","seedvalue"
"1",1,0.99,5,"car",0.0476190476190476,1,"*diag(p-1)",500,1500,1,0.5,3,500,99
"2",1,0.95,2,"bus",0.0952380952380952,2,"*diag(p-1)",500,1500,1,0.5,3,500,99
"3",1,0.95,2,"train",0.0238095238095238,3,"*diag(p-1)",500,1500,1,0.5,3,500,99
"4",3,0.99,2,"bus",0.0476190476190476,4,"*diag(p-1)",500,1500,1,0.5,3,500,99
"5",1,0.95,5,"car",0.0714285714285714,5,"*diag(p-1)",500,1500,1,0.5,3,500,99
